2026/02/02 22:36:46 [error] 7892#17508: *1 CreateFile() "C:\Users\12952\Desktop\video_management_system\backEnd\video_data_service\src\main\resources\static\nginx/html/favicon.ico" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2026/02/04 12:19:04 [error] 24524#33832: *29 CreateFile() "C:\Users\12952\Desktop\video_management_system\backEnd\video_data_service\src\main\resources\static\nginx/html/imgs/1770178472855.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /imgs/1770178472855.png HTTP/1.1", host: "localhost:8026", referrer: "http://localhost:8025/"
2026/02/04 12:19:07 [error] 24524#33832: *28 CreateFile() "C:\Users\12952\Desktop\video_management_system\backEnd\video_data_service\src\main\resources\static\nginx/html/imgs/1770178472855.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /imgs/1770178472855.png HTTP/1.1", host: "localhost:8026", referrer: "http://localhost:8025/"
2026/02/04 12:19:07 [error] 24524#33832: *30 CreateFile() "C:\Users\12952\Desktop\video_management_system\backEnd\video_data_service\src\main\resources\static\nginx/html/videos/1770178472855.mp4" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /videos/1770178472855.mp4 HTTP/1.1", host: "localhost:8026", referrer: "http://localhost:8025/"
2026/02/04 12:20:14 [error] 24524#33832: *37 CreateFile() "C:\Users\12952\Desktop\video_management_system\backEnd\video_data_service\src\main\resources\static\nginx/html/imgs/1770178814247.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /imgs/1770178814247.png HTTP/1.1", host: "localhost:8026", referrer: "http://localhost:8025/"
2026/02/04 12:38:53 [error] 23844#26284: *6 CreateFile() "C:\Users\12952\Desktop\video_management_system\backEnd\video_data_service\src\main\resources\static\nginx/html/imgs/1770178814247.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /imgs/1770178814247.png HTTP/1.1", host: "localhost:8026", referrer: "http://localhost:8025/"
2026/02/04 12:38:54 [error] 23844#26284: *4 CreateFile() "C:\Users\12952\Desktop\video_management_system\backEnd\video_data_service\src\main\resources\static\nginx/html/imgs/1770178814247.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /imgs/1770178814247.png HTTP/1.1", host: "localhost:8026", referrer: "http://localhost:8025/"
2026/02/04 12:38:54 [error] 23844#26284: *1 CreateFile() "C:\Users\12952\Desktop\video_management_system\backEnd\video_data_service\src\main\resources\static\nginx/html/videos/1770178814247.mp4" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /videos/1770178814247.mp4 HTTP/1.1", host: "localhost:8026", referrer: "http://localhost:8025/"
2026/02/04 12:40:18 [error] 23844#26284: *8 CreateFile() "C:\Users\12952\Desktop\video_management_system\backEnd\video_data_service\src\main\resources\static\nginx/html/imgs/1770180017901.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /imgs/1770180017901.png HTTP/1.1", host: "localhost:8026", referrer: "http://localhost:8025/"
2026/02/04 12:43:42 [error] 23844#26284: *17 CreateFile() "C:\Users\12952\Desktop\video_management_system\backEnd\video_data_service\src\main\resources\static\nginx/html/imgs/1770180017901.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /imgs/1770180017901.png HTTP/1.1", host: "localhost:8026", referrer: "http://localhost:8025/"
2026/02/04 12:43:44 [error] 23844#26284: *19 CreateFile() "C:\Users\12952\Desktop\video_management_system\backEnd\video_data_service\src\main\resources\static\nginx/html/imgs/1770180017901.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /imgs/1770180017901.png HTTP/1.1", host: "localhost:8026", referrer: "http://localhost:8025/"
2026/02/04 12:43:44 [error] 23844#26284: *18 CreateFile() "C:\Users\12952\Desktop\video_management_system\backEnd\video_data_service\src\main\resources\static\nginx/html/videos/1770180017901.mp4" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /videos/1770180017901.mp4 HTTP/1.1", host: "localhost:8026", referrer: "http://localhost:8025/"
2026/02/04 12:43:45 [error] 23844#26284: *23 CreateFile() "C:\Users\12952\Desktop\video_management_system\backEnd\video_data_service\src\main\resources\static\nginx/html/videos/1770180017901.mp4" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "HEAD /videos/1770180017901.mp4 HTTP/1.1", host: "localhost:8026"
